account,date,url,tickers,numbers,signal,signal_p,direction,direction_p,has_numbers,conviction,text
dannycheng2022,2024-07-23T13:18:30.000Z,https://x.com/dannycheng2022/status/1815738260951625979,,1 1 1 2 3,candle_colour,0.92,neutral,0.98,0.03,0.29,"How to read my charts more accurately?  Box 1/Panel 1: Candle patterns  1. Red candle----a bullish signal, hinting that there is an uptrend in the shorter term.    2. Yellow candle---a bearish signal, implying that there is a downtrend in a shorter term.    3. Dark blue  https:// t.co/JbJYRDCVBB"
dannycheng2022,2026-09-19T12:55:16.000Z,https://x.com/dannycheng2022/status/2101294051836518529,$DRAM,19 2026,none,1.0,neutral,1.0,0.85,0.02,"$DRAM (September 19, 2026-Daily Chart)  DRAM Analy…"
dannycheng2022,2026-09-19T12:42:10.000Z,https://x.com/dannycheng2022/status/2101290753423184143,$ARM,19 2026,none,1.0,neutral,0.98,0.84,0.27,"MUST-READ: $ARM (September 19, 2026-Weekly Chart) …"
dannycheng2022,2026-09-19T12:27:09.000Z,https://x.com/dannycheng2022/status/2101286976146080098,$TSLA,19 2026,none,1.0,neutral,1.0,0.87,0.03,"$TSLA (September 19, 2026-Weekly Chart)  Trend Ana…"
dannycheng2022,2026-09-19T09:27:23.000Z,https://x.com/dannycheng2022/status/2101241736437915810,$AMD $NVDA $PLTR,3 1 2,none,1.0,bullish,0.99,0.04,2.34,"The 3 Easiest Stocks — And the Gurus Who Missed Them  These three stocks ( $PLTR ,  $NVDA  and  $AMD ) ARE, in my view, among the easiest to make money in.  1.  Get the analysis wrong and it means you don't even know the basic technical analysis. You need to start again from ABC!   2."
dannycheng2022,2026-09-19T09:05:47.000Z,https://x.com/dannycheng2022/status/2101236299038609849,$ETHA,19 2026,none,1.0,neutral,0.95,0.83,0.2,"MUST-READ: $ETHA (September 19, 2026-Daily Chart) …"
dannycheng2022,2026-09-19T08:56:49.000Z,https://x.com/dannycheng2022/status/2101234042750574879,$IBIT,19 2026,none,1.0,neutral,0.98,0.85,0.18,"MUST-READ: $IBIT (September 19, 2026-Daily Chart) …"
dannycheng2022,2026-09-19T08:33:40.000Z,https://x.com/dannycheng2022/status/2101228214882566527,$NOW $RBRK,19 2026,none,1.0,neutral,0.99,0.76,0.08,"SOFTWARE: $NOW and $RBRK (September 19, 2026-Weekl…"
dannycheng2022,2026-09-19T08:31:59.000Z,https://x.com/dannycheng2022/status/2101227794521068008,$AMD $NVDA $PLTR $TSM,66 2021 22 407 3 2026 65 2021 22 447 3 2026,none,0.99,bullish,0.77,0.78,1.55,"Conviction is not measured in months. It is tested across multi-year cycles.   $NVDA : -66% in 2021–22, then about +407% over 3 years into 2026.  $AMD : -65% in 2021–22, then about +447% over 3 years into 2026.  $TSM : -56% in 2022, then about +409% over 3 years into 2026.  $PLTR : -65%"
dannycheng2022,2026-09-19T08:23:21.000Z,https://x.com/dannycheng2022/status/2101225620919521789,,13 2026 1 50 70 50 70,none,0.97,bullish,0.46,0.39,1.2,"Keep it simple! MUST-READ: How to Use My Patreon Content (September 13, 2026)  1. Daily charts (50–70 stocks) I chart 50–70 stocks every day, depending on my availability. You do not need to review all of them. Focus only on names you hold or are interested in. Fresh bullish setups are marked"
dannycheng2022,2026-09-19T07:43:57.000Z,https://x.com/dannycheng2022/status/2101215704494252275,$SOFI,19 2026,none,1.0,neutral,1.0,0.85,0.02,"$SOFI (September 19, 2026-Weekly Chart)  SOFI Anal…"
dannycheng2022,2026-09-19T07:33:51.000Z,https://x.com/dannycheng2022/status/2101213162553164035,$AMD $PLTR,$60 $80 $120 $150 $180 $500 $300,none,0.54,bullish,0.67,0.96,1.46,You know the guy. He called  $PLTR  a crash to $60–$80. Then $120 was a bear trap. Then $150. Then $180. At some point the “trap” started looking a lot like a staircase. That’s why I sized up.  The same guy later decided  $AMD  was topping at $500 this cycle and heading to $300. I
dannycheng2022,2026-09-19T07:21:19.000Z,https://x.com/dannycheng2022/status/2101210007870296524,$MRNA,19 2026 1 $165.3 14 2026 $390 $380 $400 4,volatility_hole,1.0,neutral,0.22,0.98,1.06,"$MRNA  (September 19, 2026-Daily Chart)  Two things I would like to highlight. The most important: the last volatility hole is still in force in panel 1, and  $MRNA  remains trapped inside that volatility-hole price action. A consistent close above $165.3 would trigger a surge. A $MRNA (Jan 14, 2026-monthly chart)  In the previous bull cycle, I exited all my $MRNA shares at $390 due to the volatility hole forming in the $380–$400 zone. The downtrend that followed has now dragged on for 4 full ye"
dannycheng2022,2026-09-19T07:14:13.000Z,https://x.com/dannycheng2022/status/2101208223047139705,$RIOT,19 2026 0 31 2026 2022,candle_colour,0.97,bearish,0.75,0.93,0.75,"$RIOT  (September 19, 2026-Weekly Chart0  A yellow candle is as reliable as a red candle. Learn to focus on both if you are a trader. $RIOT (August 31, 2026-Weekly Chart)  The last bearish yellow candle shared in early July played out exactly as expected.   The pullback has continued since then, while the bullish red ribbon is tightening, accompanied by a steady decrease in whale accumulation.  x.com/dannycheng2022…"
dannycheng2022,2026-09-19T07:11:26.000Z,https://x.com/dannycheng2022/status/2101207523458158996,$HUT,19 2026,none,1.0,neutral,0.97,0.82,0.25,"MUST-READ: $HUT (September 19, 2026-Weekly Chart) …"
dannycheng2022,2026-09-19T07:02:12.000Z,https://x.com/dannycheng2022/status/2101205200002511169,$CLSK $MARA,19 2026,none,1.0,neutral,0.68,0.76,1.18,"MUST-READ: $CLSK and $MARA (September 19, 2026-Wee…"
dannycheng2022,2026-09-19T06:56:29.000Z,https://x.com/dannycheng2022/status/2101203758248071186,$MARA,19 2026 1 $12.5 $15.8 $16.3 $12.5 $15.8 $16.3,momentum_bar_level,0.71,bullish,0.99,0.97,0.96,"$MARA  (September 19, 2026-Weekly Chart)  The last two volatility holes marked the bottom ahead of each surge.   Three momentum bars now stand out in panel 1: $12.5, $15.8, and $16.3. $12.5 is acting as support, while $15.8 and $16.3 are acting as resistance. Whale accumulation:"
dannycheng2022,2026-09-19T06:52:13.000Z,https://x.com/dannycheng2022/status/2101202686934954029,$BMNR,19 2026,none,1.0,neutral,0.72,0.8,2.19,"MUST-READ: $BMNR (September 19, 2026-Daily and Wee…"
dannycheng2022,2026-09-19T06:45:52.000Z,https://x.com/dannycheng2022/status/2101201088305127910,$CIFR $IREN,19 2026,none,1.0,neutral,1.0,0.85,0.0,"$IREN and $CIFR (September 19, 2026-Weekly Charts)…"
dannycheng2022,2026-09-19T06:25:39.000Z,https://x.com/dannycheng2022/status/2101196001247945139,$IBRX,19 2026,momentum_bar_level,0.19,bullish,0.99,0.92,1.81,"$IBRX  (September 19, 2026-Daily Chart)  The uptrend resumed after the last red candle, together with the blue ribbon. Since then, momentum has picked up, with candles forming higher highs and higher lows. Each time price touched the lower boundary of the red ribbon, it rebounded."
sunxliao,2026-09-19T00:23:56.000Z,https://x.com/sunxliao/status/2101104969541951615,$ASST $BWET $CYPH $ZCSH,,none,1.0,neutral,0.53,0.03,0.53,I'm happy to hear that my ideas have changed lives in the past few days. 🙏  Thank you so much for your support.   $ASST   $BWET   $CYPH   $ZCSH
sunxliao,2026-09-19T15:52:23.000Z,https://x.com/sunxliao/status/2101338624432505143,$BDRY $BWET $DHT $ECO $EDRY $FRO $GLBS $HAFN,$1000 2 3 $483.25 80.47 10 1 $16.40 $464.93 $19.77 $67.79 $52.73,blue_diamond,0.76,bullish,1.0,0.97,2.7,"$BWET  maybe $1000 next? 🔷🫡  Had enough blue diamonds (need 2/3) since $483.25, up 80.47% in 10 days...  Let's see if we get any pink diamonds (1D) soon. $BWET up again today... 🚢  Tanker equities are long freight rates, and disruption raises freight rates... vessel owners benefit.  Here's the marine shipping theme:  $BDRY at $16.40 $BWET at $464.93 $DHT at $19.77 $ECO at $67.79 $EDRY at $52.73 $FRO at $44.38 $GLBS at $3.83 $HAFN  x.com/sunxliao/statu…"
sunxliao,2026-09-19T11:41:55.000Z,https://x.com/sunxliao/status/2101275591362367840,$ABCL,10 1 2 2,blue_diamond,1.0,bullish,1.0,0.05,1.67,Here's why  $ABCL  has a pristine blue diamond... let me explain. 🔷  The ticker must be in a strong and trending theme... biotech had a healthy correction and was due for a bounce.  Bullish blue diamonds should last for at least 10 candles (before flipping pink)...  Previous blue $ABCL pristine blue diamond (1D) setup... last 2 times led to approx 2X rally. 🔷  Will be interesting to watch... 🍿  x.com/sunxliao/statu…
