# era | author or school | measurement | how it is computed from one symbol's OHLCV
1962 | Coppock | Coppock curve | 10-period WMA of the sum of the 14- and 11-period rates of change
1970s | Granville | On-balance volume slope | change of cumulative signed volume over 20 bars relative to volume
1970s | Granville | OBV divergence | 20-bar slope of OBV minus the 20-bar slope of price, both normalised
1976 | Arms | Ease of movement | midpoint change divided by (volume ÷ range), smoothed 14
1978 | Wilder | RSI | ratio of average up-moves to down-moves over 14 bars
1978 | Wilder | ATR | average true range over 14 bars
1978 | Wilder | ADX | smoothed absolute difference of +DI and −DI over 14 bars
1978 | Wilder | DI spread | +DI minus −DI over 14 bars
1978 | Wilder | Parabolic SAR distance | distance of the close from the SAR stop in ATR and bars since the flip
1978 | Wilder | Volatility stop | close vs the highest close minus 3 ATR (trailing)
1978 | Wilder | Swing index | Wilder's accumulative swing index over 20 bars
1979 | Appel | MACD line | 12-EMA minus 26-EMA in ATR
1979 | Appel | MACD histogram slope | 3-bar change of the histogram in ATR
1980s | Lane | Stochastic %K | position of the close in the 14-bar range
1980s | Lane | Stochastic %D slope | 3-bar change of the smoothed stochastic
1980s | Lane | Stochastic divergence | new price low with a higher stochastic low over 20 bars
1980s | Williams | Williams %R | inverse stochastic over 14 bars
1980s | Williams | Ultimate oscillator | weighted buying pressure over 7, 14 and 28 bars
1980s | Williams | Market facilitation index | range divided by volume relative to yesterday
1980s | Williams | Awesome oscillator | 5-SMA minus 34-SMA of the midprice in ATR
1980s | Williams | Fractal breakout | close beyond the last confirmed 5-bar fractal high
1980s | Williams | Alligator spread | distance between the 5-, 8- and 13-bar shifted SMAs in ATR
1980s | Chaikin | Accumulation/distribution slope | 20-bar change of cumulative (CLV × volume) relative to volume
1980s | Chaikin | Chaikin oscillator | 3-EMA minus 10-EMA of the A/D line relative to volume
1980s | Chaikin | Chaikin money flow | sum of CLV × volume over 20 bars divided by volume
1980s | Chaikin | Chaikin volatility | 10-bar change of the 10-EMA of the range
1980s | Lambert | Commodity channel index | typical price deviation from its 20-SMA over mean absolute deviation
1980s | Quong and Soudack | Money flow index | volume-weighted RSI of the typical price over 14 bars
1980s | Blau | True strength index | double-smoothed momentum over double-smoothed absolute momentum
1980s | Blau | Ergodic oscillator | TSI minus its signal line
1980s | Pring | Know sure thing | weighted sum of four smoothed rates of change
1980s | Pring | Special K | long-horizon combination of smoothed rates of change
1980s | Dorsey | Mass index | 25-bar sum of the ratio of the 9-EMA of range to its double EMA
1980s | Hurst | Cycle envelope | position within the centred moving-average envelope of the dominant cycle
1980s | Elder | Force index | change × volume, 13-EMA, relative to volume × ATR
1980s | Elder | Bull power | high minus the 13-EMA in ATR
1980s | Elder | Bear power | low minus the 13-EMA in ATR
1980s | Elder | Elder impulse | sign of the 13-EMA slope and the MACD histogram slope agreeing
1980s | Elder | SafeZone stop | close vs the recent low minus 2× the average downside penetration
1980s | Elder | Triple screen alignment | weekly trend direction agreeing with the daily oscillator pullback
1988 | Tillson | T3 slope | slope of the T3 smoothed close in ATR
1980s | Bollinger | Bollinger %B | position of the close inside the 20,2 bands
1980s | Bollinger | Bollinger bandwidth | band width relative to the middle band
1980s | Bollinger | Bandwidth squeeze | bandwidth at a 125-bar low
1980s | Bollinger | Walking the band | consecutive closes above the upper band
1980s | Bollinger | Band-volume confirmation | %B rising with the 20-bar volume slope positive
1990s | Kaufman | Efficiency ratio | net move over the sum of absolute moves over 10 bars
1990s | Kaufman | KAMA slope | slope of the adaptive moving average in ATR
