# domain | model | how it would be measured from one symbol's daily OHLCV
mechanics | Newton's second law | force = mass × acceleration: dollar volume × the change in 5-bar velocity, in ATR/bar²
mechanics | Momentum conservation | net signed dollar volume over 10 bars vs the price change it produced (impact per momentum unit)
mechanics | Inertia | bars the current direction has persisted weighted by the size of the moves
mechanics | Friction | ratio of gross path length to net displacement over 20 bars (energy lost to noise)
mechanics | Elastic collision | bounce off a level: size of the rebound after touching the 50-day mean, in ATR
mechanics | Inelastic collision | volume absorbed at a level: volume on bars touching the 20-bar low divided by average volume
mechanics | Torque | close position within the daily range times daily range, summed over 5 bars
mechanics | Angular momentum | rotation in (price, velocity) phase space over 10 bars (signed area swept)
mechanics | Center of mass | volume-weighted average price over the last swing vs the current close, in ATR
mechanics | Moment of inertia | dispersion of volume across price levels in the last 20 bars (second moment of volume-at-price)
mechanics | Terminal velocity | 5-bar velocity relative to the 60-bar maximum 5-bar velocity
mechanics | Projectile apex | bars since velocity crossed from positive to negative in an up-leg
mechanics | Pendulum period | average bars between successive swing highs over the last 5 swings
mechanics | Resonance | ratio of swing amplitude to the amplitude of the swing before, when periods match
mechanics | Hooke's law | restoring force: distance from the 20-day mean times the 60-bar reversion speed
mechanics | Work done | sum of signed (close − open) × volume over 10 bars divided by total volume
mechanics | Power | work per bar: 5-bar net move times average volume, in ATR
mechanics | Escape velocity | 5-bar velocity relative to the velocity that historically preceded 20-day breakouts
mechanics | Gravitational pull | strength of a level: volume traded within 0.5 ATR of the 50-day mean over 50 bars
mechanics | Drag coefficient | deceleration of velocity as a function of velocity squared over 20 bars
thermodynamics | Temperature | realized daily-range variance over 10 bars relative to 100 bars
thermodynamics | Heat capacity | volume needed to move price one ATR over 20 bars
thermodynamics | Entropy production | growth of return-sign entropy over the last 20 bars vs the prior 20
thermodynamics | Free energy | trend energy minus noise energy: net 20-bar move squared minus variance of daily changes
thermodynamics | Phase transition | sharp change in the volatility regime: ATR(5)/ATR(50) crossing 2 or 0.5 within 5 bars
thermodynamics | Latent heat | volume absorbed without price movement during the last 5 bars (volume × (1 − efficiency))
thermodynamics | Boltzmann distribution | share of daily moves larger than 1 ATR vs the exponential expectation
thermodynamics | Carnot efficiency | net move divided by gross intraday range over 20 bars
thermodynamics | Thermal equilibrium | bars since the 5-bar variance and 50-bar variance last matched
thermodynamics | Heat diffusion | spread of volume-at-price around the point of control over 20 bars
thermodynamics | Adiabatic compression | range contraction with rising volume over 10 bars
thermodynamics | Pressure | volume divided by the daily range (volume per unit of price movement) vs its 50-bar mean
thermodynamics | Boiling point | bars of compression before a range expansion of 2× (historic distribution vs the current count)
thermodynamics | Cooling curve | decay of daily range after a 3-ATR day, fitted exponent over 10 bars
statistical physics | Ising magnetisation | fraction of up-days in the last 20 minus 0.5, times 2
statistical physics | Susceptibility | response of returns to volume shocks: slope of |return| on volume z-score over 60 bars
statistical physics | Correlation length | number of bars over which return autocorrelation stays positive
statistical physics | Percolation density | fraction of the last 20 bars with volume above the 50-bar median
statistical physics | Spin-glass frustration | fraction of bars where close position and volume direction disagree over 20 bars
statistical physics | Random walk exponent | log of net displacement over log of bars, over 30 bars
statistical physics | Mean first-passage time | historic bars needed to travel 2 ATR from the current velocity regime
statistical physics | Fluctuation-dissipation | ratio of the response to shocks to the resting variance over 60 bars
statistical physics | Ergodicity breaking | difference between the time-average and the recent-window average return over 250 bars
statistical physics | Detrended fluctuation exponent | DFA exponent of daily returns over 100 bars
statistical physics | Self-organised criticality | count of moves above 1.5 ATR in 20 bars vs the power-law expectation
statistical physics | Avalanche size | cumulative move of the current same-direction run in ATR
statistical physics | Metastability | bars spent within ±1 ATR of a level before a 2-ATR escape
statistical physics | Order parameter | coherence of daily direction, volume direction and close position over 10 bars
fluids | Reynolds number | velocity × swing size ÷ viscosity (noise): 20-bar velocity × leg size ÷ daily-change std
fluids | Turbulence cascade | ratio of variance at 1-, 5-, 20-day scales (deviation from the 5/3 law)
fluids | Vortex shedding | alternation of up and down closes with regular period over 20 bars
fluids | Laminar flow | path efficiency above 0.7 with low volume variance over 10 bars
fluids | Pressure gradient | difference between the 5-bar and 20-bar volume-weighted mean prices, in ATR
fluids | Bernoulli | fast flow means low pressure: high velocity with volume below average over 5 bars
fluids | Viscosity | volume per ATR of movement over 20 bars relative to 100 bars
fluids | Hydraulic jump | sudden range expansion after a fast, low-range move
fluids | Tidal cycle | position within the 20-bar cycle of the dominant period found by autocorrelation
fluids | Wave breaking | swing amplitude growing while period shortens over the last 3 swings
fluids | Buoyancy | closes above the 20-day VWAP on below-average volume for 5 bars
fluids | Capillary action | slow steady rise on low volume: 10-bar efficiency above 0.6 with volume below 0.8× average
waves and optics | Interference | agreement of the 5-, 20- and 60-bar trend slopes (constructive) vs disagreement
waves and optics | Doppler shift | shortening of swing periods as price accelerates
waves and optics | Standing wave | price oscillating between two levels for 20 bars (range with 3+ touches each side)
waves and optics | Refraction | change of trend slope on crossing the 50-day mean
waves and optics | Diffraction | spread of price after passing a narrow squeeze
waves and optics | Beat frequency | difference between the two dominant cycle periods found in 100 bars
waves and optics | Wavelet energy at scale 5 | Haar wavelet energy of closes at scale 5 relative to total energy
waves and optics | Wavelet energy at scale 20 | Haar wavelet energy at scale 20 relative to total energy
waves and optics | Spectral centroid | volume-weighted centre of the return power spectrum over 64 bars
waves and optics | Signal envelope | Hilbert-style envelope of the detrended close over 20 bars
waves and optics | Phase lag price vs volume | lag maximising the cross-correlation of |returns| and volume over 60 bars
electromagnetism | Capacitance | volume stored during compression, released on expansion (squeeze volume ÷ breakout volume)
electromagnetism | Inductance | resistance to change of velocity: lag between volume surge and price response
electromagnetism | Resistance | volume required per ATR of movement over 10 bars
electromagnetism | Voltage | distance to the 20-day high in ATR times the volume ratio
electromagnetism | Magnetic hysteresis | asymmetry of the path up vs the path down through the same levels over the last swing pair
